,NCTId,Phase
2810,NCT03375099,Not Applicable
2808,NCT04221815,Not Applicable
2807,NCT04052815,Not Applicable
2805,NCT01903876,Not Applicable
2843,NCT03080090,Not Applicable
2845,NCT02077972,Not Applicable
2852,NCT03442374,Not Applicable
2854,NCT01029288,Not Applicable
2855,NCT03325777,Not Applicable
2858,NCT03566706,Not Applicable
2862,NCT04156802,Not Applicable
2863,NCT00440232,Not Applicable
2865,NCT04479761,Not Applicable
2873,NCT01930149,Not Applicable
2875,NCT01625546,Not Applicable
2883,NCT02817009,Not Applicable
2884,NCT03721835,Not Applicable
2891,NCT00000408,Not Applicable
2892,NCT04173884,Not Applicable
2895,NCT03845283,Not Applicable
2900,NCT04317924,Not Applicable
2803,NCT01570309,Not Applicable
2796,NCT03028233,Not Applicable
2711,NCT02110381,Not Applicable
2726,NCT03577990,Not Applicable
2756,NCT00520611,Not Applicable
2753,NCT02763917,Not Applicable
2742,NCT03156283,Not Applicable
2732,NCT03295994,Not Applicable
2731,NCT00440596,Not Applicable
2728,NCT03557775,Not Applicable
2724,NCT02679690,Not Applicable
2795,NCT04426318,Not Applicable
2719,NCT00775216,Not Applicable
2718,NCT01829256,Not Applicable
2717,NCT03127358,Not Applicable
2716,NCT04364074,Not Applicable
2714,NCT01569607,Not Applicable
2712,NCT02484950,Not Applicable
2757,NCT03642769,Not Applicable
2759,NCT02903433,Not Applicable
2765,NCT04135443,Not Applicable
2766,NCT00769262,Not Applicable
2767,NCT02148003,Not Applicable
2772,NCT00986115,Not Applicable
2773,NCT01723059,Not Applicable
2775,NCT02161913,Not Applicable
2776,NCT01105169,Not Applicable
2777,NCT02539433,Not Applicable
2778,NCT02593032,Not Applicable
2779,NCT04036344,Not Applicable
2780,NCT03076216,Not Applicable
2781,NCT02925481,Not Applicable
2783,NCT01451762,Not Applicable
2784,NCT04187092,Not Applicable
2792,NCT02956408,Not Applicable
3299,NCT03889418,Not Applicable
3300,NCT00754390,Not Applicable
3304,NCT00556842,Not Applicable
3963,NCT03495284,Not Applicable
3984,NCT01028937,Not Applicable
3982,NCT00097123,Not Applicable
3981,NCT04219566,Not Applicable
3974,NCT02293694,Not Applicable
3969,NCT01177176,Not Applicable
3968,NCT04023604,Not Applicable
3962,NCT03464188,Not Applicable
3996,NCT01431183,Not Applicable
3953,NCT02403466,Not Applicable
3950,NCT03596151,Not Applicable
3949,NCT04243343,Not Applicable
3948,NCT01058421,Not Applicable
3946,NCT03259373,Not Applicable
3943,NCT04577599,Not Applicable
3993,NCT03683394,Not Applicable
3997,NCT01850082,Not Applicable
3771,NCT03339245,Not Applicable
4016,NCT02568618,Not Applicable
4036,NCT04530032,Not Applicable
4032,NCT00664040,Not Applicable
4028,NCT03340012,Not Applicable
4025,NCT02564653,Not Applicable
4018,NCT00237926,Not Applicable
4017,NCT01248390,Not Applicable
4015,NCT02664012,Not Applicable
3998,NCT03903146,Not Applicable
4013,NCT02167022,Not Applicable
4011,NCT04040881,Not Applicable
4008,NCT02061579,Not Applicable
4007,NCT03064932,Not Applicable
4004,NCT02209077,Not Applicable
3999,NCT04434313,Not Applicable
3939,NCT00157755,Not Applicable
3937,NCT03242070,Not Applicable
3935,NCT00481715,Not Applicable
3830,NCT01123577,Not Applicable
3863,NCT04302727,Not Applicable
3860,NCT02802306,Not Applicable
3854,NCT04176107,Not Applicable
3853,NCT01880853,Not Applicable
3849,NCT03263975,Not Applicable
3831,NCT00325754,Not Applicable
3829,NCT04450966,Not Applicable
3930,NCT01625468,Not Applicable
3826,NCT00732147,Not Applicable
3823,NCT01894087,Not Applicable
3798,NCT02096432,Not Applicable
3796,NCT01063959,Not Applicable
3783,NCT02752282,Not Applicable
3779,NCT03445403,Not Applicable
3867,NCT00005137,Not Applicable
3874,NCT03925337,Not Applicable
3876,NCT04605783,Not Applicable
3877,NCT02173379,Not Applicable
3881,NCT01565863,Not Applicable
3885,NCT03146897,Not Applicable
3894,NCT04296344,Not Applicable
3895,NCT04246424,Not Applicable
3898,NCT01117974,Not Applicable
3902,NCT02213198,Not Applicable
3906,NCT03852316,Not Applicable
3913,NCT02583178,Not Applicable
3916,NCT00122187,Not Applicable
3917,NCT03684070,Not Applicable
3921,NCT01589692,Not Applicable
3924,NCT04431622,Not Applicable
3927,NCT03354663,Not Applicable
4040,NCT02005445,Not Applicable
4042,NCT02924051,Not Applicable
4044,NCT02757937,Not Applicable
4199,NCT02137512,Not Applicable
4232,NCT01796106,Not Applicable
4231,NCT03172962,Not Applicable
4217,NCT04258722,Not Applicable
4212,NCT03004157,Not Applicable
4201,NCT03726320,Not Applicable
4200,NCT00768248,Not Applicable
4194,NCT00200057,Not Applicable
4168,NCT01336764,Not Applicable
4193,NCT01967394,Not Applicable
4192,NCT03093662,Not Applicable
4185,NCT02197689,Not Applicable
4180,NCT03008837,Not Applicable
4177,NCT03352115,Not Applicable
4175,NCT02655354,Not Applicable
4233,NCT02068937,Not Applicable
4234,NCT03521817,Not Applicable
4235,NCT04526418,Not Applicable
4250,NCT01617161,Not Applicable
4252,NCT00321971,Not Applicable
4257,NCT01578967,Not Applicable
4259,NCT04484090,Not Applicable
4260,NCT02708264,Not Applicable
4263,NCT01401842,Not Applicable
4269,NCT03337139,Not Applicable
4272,NCT03571750,Not Applicable
4275,NCT02703506,Not Applicable
4278,NCT03175640,Not Applicable
4279,NCT03753373,Not Applicable
4280,NCT00422448,Not Applicable
4287,NCT01744548,Not Applicable
4288,NCT01044095,Not Applicable
4170,NCT00822367,Not Applicable
4164,NCT03499860,Not Applicable
4047,NCT03504826,Not Applicable
4071,NCT04202900,Not Applicable
4094,NCT03422276,Not Applicable
4083,NCT04266834,Not Applicable
4078,NCT03937960,Not Applicable
4077,NCT01871506,Not Applicable
4076,NCT01295229,Not Applicable
4075,NCT04259632,Not Applicable
4070,NCT00939380,Not Applicable
4160,NCT00100581,Not Applicable
4068,NCT04018651,Not Applicable
4067,NCT00761813,Not Applicable
4065,NCT01714323,Not Applicable
4064,NCT04351841,Not Applicable
4058,NCT03486405,Not Applicable
4055,NCT01816633,Not Applicable
4105,NCT01537367,Not Applicable
4114,NCT02840877,Not Applicable
4119,NCT03314129,Not Applicable
4120,NCT03209895,Not Applicable
4121,NCT01816516,Not Applicable
4122,NCT00856856,Not Applicable
4123,NCT04171466,Not Applicable
4125,NCT04139928,Not Applicable
4130,NCT03777020,Not Applicable
4134,NCT02961751,Not Applicable
4143,NCT02893150,Not Applicable
4146,NCT04000971,Not Applicable
4147,NCT02923193,Not Applicable
4148,NCT03055858,Not Applicable
4149,NCT04477304,Not Applicable
4150,NCT00000861,Not Applicable
4151,NCT02664610,Not Applicable
3774,NCT04023357,Not Applicable
3765,NCT01338506,Not Applicable
3306,NCT03049904,Not Applicable
3440,NCT00758615,Not Applicable
3461,NCT01586767,Not Applicable
3459,NCT03161470,Not Applicable
3454,NCT00137696,Not Applicable
3449,NCT03891381,Not Applicable
3447,NCT03217201,Not Applicable
3441,NCT03184792,Not Applicable
3438,NCT03177941,Not Applicable
3465,NCT00542581,Not Applicable
3435,NCT04377204,Not Applicable
3434,NCT04526158,Not Applicable
3428,NCT01852955,Not Applicable
3424,NCT03338257,Not Applicable
3419,NCT03060291,Not Applicable
3418,NCT02180139,Not Applicable
3462,NCT00581061,Not Applicable
3466,NCT01997723,Not Applicable
3764,NCT01727895,Not Applicable
3493,NCT03231592,Not Applicable
3530,NCT03009968,Not Applicable
3525,NCT03455530,Not Applicable
3522,NCT00278928,Not Applicable
3508,NCT00119574,Not Applicable
3505,NCT02021149,Not Applicable
3495,NCT02122445,Not Applicable
3491,NCT00256789,Not Applicable
3475,NCT02078934,Not Applicable
3486,NCT01215721,Not Applicable
3482,NCT01636999,Not Applicable
3481,NCT02341950,Not Applicable
3480,NCT00506597,Not Applicable
3479,NCT00308958,Not Applicable
3477,NCT04345562,Not Applicable
3416,NCT00187018,Not Applicable
3415,NCT01440634,Not Applicable
3413,NCT04133376,Not Applicable
3327,NCT00763698,Not Applicable
3343,NCT00620763,Not Applicable
3342,NCT00700804,Not Applicable
3338,NCT02290106,Not Applicable
3333,NCT04161040,Not Applicable
3331,NCT03767231,Not Applicable
3328,NCT01714102,Not Applicable
3326,NCT03520387,Not Applicable
3412,NCT04408352,Not Applicable
3323,NCT01812824,Not Applicable
3322,NCT03543735,Not Applicable
3321,NCT04046055,Not Applicable
3318,NCT03490045,Not Applicable
3316,NCT04312165,Not Applicable
3315,NCT02739893,Not Applicable
3344,NCT01323114,Not Applicable
3346,NCT04608188,Not Applicable
3353,NCT04022434,Not Applicable
3354,NCT00918996,Not Applicable
3356,NCT01917812,Not Applicable
3359,NCT03736603,Not Applicable
3367,NCT00811057,Not Applicable
3374,NCT03634306,Not Applicable
3383,NCT04381481,Not Applicable
3387,NCT03267914,Not Applicable
3388,NCT04461405,Not Applicable
3394,NCT04413708,Not Applicable
3397,NCT00300534,Not Applicable
3398,NCT03974061,Not Applicable
3400,NCT01817660,Not Applicable
3405,NCT03022929,Not Applicable
3408,NCT03465072,Not Applicable
3531,NCT01072123,Not Applicable
3535,NCT01730911,Not Applicable
3536,NCT02561286,Not Applicable
3665,NCT04009070,Not Applicable
3695,NCT03107468,Not Applicable
3693,NCT03218787,Not Applicable
3686,NCT03650556,Not Applicable
3685,NCT03571893,Not Applicable
3678,NCT01199172,Not Applicable
3675,NCT01925794,Not Applicable
3653,NCT01917994,Not Applicable
1501,NCT01148563,Not Applicable
3642,NCT02521454,Not Applicable
3638,NCT00608426,Not Applicable
3637,NCT00336232,Not Applicable
3634,NCT03555266,Not Applicable
3633,NCT03830307,Not Applicable
3630,NCT00988403,Not Applicable
3696,NCT00335790,Not Applicable
3702,NCT01980485,Not Applicable
3713,NCT02629939,Not Applicable
3715,NCT00539175,Not Applicable
3724,NCT04240288,Not Applicable
3726,NCT01519999,Not Applicable
3732,NCT03059004,Not Applicable
3734,NCT02814552,Not Applicable
3739,NCT04545320,Not Applicable
3741,NCT02347202,Not Applicable
3748,NCT04335929,Not Applicable
3751,NCT03418870,Not Applicable
3754,NCT03834142,Not Applicable
3756,NCT01404910,Not Applicable
3759,NCT03966755,Not Applicable
3760,NCT04082338,Not Applicable
3763,NCT01685034,Not Applicable
3626,NCT01188070,Not Applicable
3618,NCT02234557,Not Applicable
3543,NCT02882620,Not Applicable
3556,NCT01810354,Not Applicable
3576,NCT04005924,Not Applicable
3575,NCT00846573,Not Applicable
3572,NCT02404012,Not Applicable
3568,NCT00657826,Not Applicable
3563,NCT03786471,Not Applicable
3559,NCT04069832,Not Applicable
3554,NCT01410669,Not Applicable
3617,NCT03148496,Not Applicable
3551,NCT01212978,Not Applicable
3550,NCT01941277,Not Applicable
3548,NCT02158884,Not Applicable
3546,NCT01616628,Not Applicable
3545,NCT02565420,Not Applicable
3544,NCT03520530,Not Applicable
3578,NCT04144062,Not Applicable
3579,NCT03253783,Not Applicable
3580,NCT01866722,Not Applicable
3583,NCT04428112,Not Applicable
3587,NCT00486902,Not Applicable
3588,NCT03860259,Not Applicable
3591,NCT04043130,Not Applicable
3595,NCT02021344,Not Applicable
3599,NCT01171027,Not Applicable
3603,NCT00727636,Not Applicable
3604,NCT04306445,Not Applicable
3608,NCT01539720,Not Applicable
3611,NCT04371887,Not Applicable
3612,NCT00420719,Not Applicable
3613,NCT02602691,Not Applicable
3614,NCT01707524,Not Applicable
3616,NCT02720497,Not Applicable
2504,NCT02011685,Not Applicable
2499,NCT04063670,Not Applicable
4294,NCT02109198,Not Applicable
1834,NCT03791580,Not Applicable
1310,NCT00412295,Not Applicable
1843,NCT03272048,Not Applicable
1311,NCT02794116,Not Applicable
1837,NCT01554644,Not Applicable
1313,NCT04017624,Not Applicable
1314,NCT04156373,Not Applicable
1833,NCT03105973,Not Applicable
1307,NCT01632761,Not Applicable
1317,NCT04494490,Not Applicable
1830,NCT01704768,Not Applicable
1318,NCT04073719,Not Applicable
1319,NCT02369614,Not Applicable
1826,NCT02676635,Not Applicable
1321,NCT04589416,Not Applicable
1308,NCT04274959,Not Applicable
1846,NCT01088178,Not Applicable
1298,NCT03839797,Not Applicable
1858,NCT00855153,Not Applicable
1863,NCT00137215,Not Applicable
1862,NCT00137254,Not Applicable
1861,NCT00137319,Not Applicable
1860,NCT00356837,Not Applicable
1300,NCT00137228,Not Applicable
1859,NCT00464386,Not Applicable
1857,NCT01268189,Not Applicable
1847,NCT00967915,Not Applicable
1855,NCT01617109,Not Applicable
1852,NCT02779231,Not Applicable
1304,NCT03530020,Not Applicable
1850,NCT00417001,Not Applicable
1849,NCT00573599,Not Applicable
1848,NCT00814905,Not Applicable
1330,NCT00490841,Not Applicable
1331,NCT04532788,Not Applicable
1821,NCT00325533,Not Applicable
1775,NCT04526002,Not Applicable
1334,NCT03321474,Not Applicable
1335,NCT04215328,Not Applicable
1336,NCT01992185,Not Applicable
1337,NCT01916629,Not Applicable
1776,NCT00531661,Not Applicable
1338,NCT01374724,Not Applicable
1774,NCT01329939,Not Applicable
1819,NCT01293604,Not Applicable
1772,NCT00137670,Not Applicable
1769,NCT03851744,Not Applicable
1339,NCT03215615,Not Applicable
1340,NCT01728142,Not Applicable
1341,NCT01728129,Not Applicable
1343,NCT02413710,Not Applicable
1784,NCT01321944,Not Applicable
1785,NCT00494052,Not Applicable
1787,NCT02056639,Not Applicable
1788,NCT00681200,Not Applicable
1790,NCT03131544,Not Applicable
1791,NCT01075165,Not Applicable
1792,NCT00871468,Not Applicable
1793,NCT04478110,Not Applicable
1796,NCT02269514,Not Applicable
1333,NCT01862653,Not Applicable
1332,NCT03614819,Not Applicable
1802,NCT02586597,Not Applicable
1803,NCT04063709,Not Applicable
1805,NCT00591448,Not Applicable
1809,NCT03570320,Not Applicable
1814,NCT00995917,Not Applicable
1816,NCT04146545,Not Applicable
1864,NCT00137202,Not Applicable
1865,NCT00137163,Not Applicable
2496,NCT04521595,Not Applicable
1931,NCT04359082,Not Applicable
1936,NCT02057094,Not Applicable
1935,NCT02731066,Not Applicable
1934,NCT03250234,Not Applicable
1933,NCT03372928,Not Applicable
1932,NCT03524690,Not Applicable
1267,NCT03185728,Not Applicable
1269,NCT04111263,Not Applicable
1266,NCT02679430,Not Applicable
1273,NCT02763020,Not Applicable
1927,NCT02544035,Not Applicable
1926,NCT03407443,Not Applicable
1274,NCT02636348,Not Applicable
1925,NCT00703508,Not Applicable
1275,NCT01921153,Not Applicable
1937,NCT01100905,Not Applicable
1945,NCT00528814,Not Applicable
1867,NCT01317784,Not Applicable
1963,NCT03352219,Not Applicable
1978,NCT00296101,Not Applicable
1977,NCT01327963,Not Applicable
1974,NCT00790803,Not Applicable
1258,NCT04501419,Not Applicable
1969,NCT00929071,Not Applicable
1964,NCT03480217,Not Applicable
1259,NCT00002434,Not Applicable
1949,NCT00610480,Not Applicable
1260,NCT00002317,Not Applicable
1261,NCT00002103,Not Applicable
1262,NCT00002102,Not Applicable
1955,NCT03506984,Not Applicable
1954,NCT00714168,Not Applicable
1950,NCT04303676,Not Applicable
1922,NCT01924936,Not Applicable
1276,NCT01913925,Not Applicable
1277,NCT01714479,Not Applicable
1290,NCT00121147,Not Applicable
1885,NCT00942656,Not Applicable
1884,NCT00942695,Not Applicable
1883,NCT01283672,Not Applicable
1882,NCT01293617,Not Applicable
1881,NCT01295684,Not Applicable
1880,NCT01402973,Not Applicable
1291,NCT02517671,Not Applicable
1918,NCT03985449,Not Applicable
1878,NCT03257436,Not Applicable
1296,NCT04155333,Not Applicable
1297,NCT04067401,Not Applicable
1874,NCT00402129,Not Applicable
1873,NCT01591408,Not Applicable
1872,NCT01790477,Not Applicable
1886,NCT00942513,Not Applicable
1888,NCT00659672,Not Applicable
1286,NCT02327208,Not Applicable
1891,NCT03480854,Not Applicable
1284,NCT01007188,Not Applicable
1894,NCT01339390,Not Applicable
1895,NCT00269555,Not Applicable
1283,NCT02223338,Not Applicable
1897,NCT03149510,Not Applicable
1898,NCT01881503,Not Applicable
1909,NCT01149759,Not Applicable
1281,NCT04594109,Not Applicable
1279,NCT01124903,Not Applicable
1913,NCT03018119,Not Applicable
1914,NCT02115724,Not Applicable
1278,NCT01292395,Not Applicable
1916,NCT02248688,Not Applicable
1344,NCT01599598,Not Applicable
1345,NCT04565860,Not Applicable
1758,NCT01691378,Not Applicable
1593,NCT01492517,Not Applicable
1602,NCT00128375,Not Applicable
1601,NCT02323438,Not Applicable
1457,NCT03495063,Not Applicable
1598,NCT01378780,Not Applicable
1597,NCT00320970,Not Applicable
1596,NCT00832871,Not Applicable
1458,NCT03483623,Not Applicable
1608,NCT03588364,Not Applicable
1459,NCT03276741,Not Applicable
1460,NCT02984943,Not Applicable
1589,NCT02877147,Not Applicable
1585,NCT02723617,Not Applicable
1464,NCT00805948,Not Applicable
1467,NCT01093885,Not Applicable
1455,NCT01342029,Not Applicable
1610,NCT03593356,Not Applicable
1346,NCT01278862,Not Applicable
1632,NCT04504019,Not Applicable
1645,NCT02918435,Not Applicable
1643,NCT02610374,Not Applicable
1642,NCT01640171,Not Applicable
1640,NCT03756025,Not Applicable
1439,NCT02045706,Not Applicable
1440,NCT02204176,Not Applicable
1631,NCT01927276,Not Applicable
1453,NCT04218747,Not Applicable
1624,NCT03512301,Not Applicable
1623,NCT04559698,Not Applicable
1446,NCT02829086,Not Applicable
1621,NCT04049162,Not Applicable
1619,NCT01555554,Not Applicable
1614,NCT04540081,Not Applicable
1468,NCT00938405,Not Applicable
1572,NCT01618591,Not Applicable
1469,NCT04345757,Not Applicable
1518,NCT02725905,Not Applicable
1493,NCT02206750,Not Applicable
1534,NCT03566095,Not Applicable
1494,NCT01981135,Not Applicable
1532,NCT03395964,Not Applicable
1495,NCT00881478,Not Applicable
1524,NCT00159471,Not Applicable
1516,NCT03700281,Not Applicable
1571,NCT02846116,Not Applicable
1513,NCT04406441,Not Applicable
1512,NCT03713333,Not Applicable
1507,NCT02601092,Not Applicable
1505,NCT01047735,Not Applicable
1496,NCT02348853,Not Applicable
1497,NCT01473771,Not Applicable
1492,NCT03155841,Not Applicable
1541,NCT02185898,Not Applicable
1490,NCT01884090,Not Applicable
1487,NCT01714531,Not Applicable
1486,NCT02424383,Not Applicable
1479,NCT01858428,Not Applicable
1549,NCT02617940,Not Applicable
1553,NCT02228967,Not Applicable
1554,NCT02955238,Not Applicable
1472,NCT02133586,Not Applicable
1559,NCT03931395,Not Applicable
1560,NCT04054947,Not Applicable
1561,NCT01949844,Not Applicable
1563,NCT04316819,Not Applicable
1564,NCT04283344,Not Applicable
1565,NCT04253743,Not Applicable
1568,NCT02209259,Not Applicable
1648,NCT04604145,Not Applicable
1649,NCT02556112,Not Applicable
1650,NCT01329679,Not Applicable
1722,NCT03711916,Not Applicable
1365,NCT02015390,Not Applicable
1728,NCT00580749,Not Applicable
1369,NCT03993002,Not Applicable
1726,NCT01198587,Not Applicable
1724,NCT02098603,Not Applicable
1723,NCT03520426,Not Applicable
1372,NCT03479541,Not Applicable
1705,NCT00301444,Not Applicable
1373,NCT00414011,Not Applicable
1712,NCT02672735,Not Applicable
1374,NCT03969654,Not Applicable
1375,NCT03255161,Not Applicable
1709,NCT01632995,Not Applicable
1707,NCT00160472,Not Applicable
1364,NCT00413868,Not Applicable
1363,NCT00965302,Not Applicable
1362,NCT04163172,Not Applicable
1361,NCT00963690,Not Applicable
1732,NCT03511937,Not Applicable
1358,NCT01857973,Not Applicable
1733,NCT03529214,Not Applicable
1734,NCT04073940,Not Applicable
1356,NCT02175316,Not Applicable
1739,NCT03054597,Not Applicable
1355,NCT00417599,Not Applicable
1742,NCT01781949,Not Applicable
1743,NCT03763591,Not Applicable
1352,NCT03788408,Not Applicable
1747,NCT00841165,Not Applicable
1349,NCT01992172,Not Applicable
1750,NCT04136951,Not Applicable
1706,NCT00245882,Not Applicable
1702,NCT04201028,Not Applicable
1422,NCT01092910,Not Applicable
1664,NCT00662415,Not Applicable
1397,NCT00289315,Not Applicable
1407,NCT03430310,Not Applicable
1408,NCT02151955,Not Applicable
1667,NCT04459455,Not Applicable
1666,NCT02239627,Not Applicable
1665,NCT00555750,Not Applicable
1663,NCT03575468,Not Applicable
1381,NCT01240902,Not Applicable
1662,NCT04335812,Not Applicable
1417,NCT00286390,Not Applicable
1661,NCT03659656,Not Applicable
1655,NCT01205776,Not Applicable
1420,NCT02419157,Not Applicable
1653,NCT03814096,Not Applicable
1672,NCT03536676,Not Applicable
1673,NCT01381016,Not Applicable
1396,NCT03594292,Not Applicable
1395,NCT03904186,Not Applicable
1679,NCT00976833,Not Applicable
1682,NCT04003454,Not Applicable
1683,NCT01865123,Not Applicable
1685,NCT02159092,Not Applicable
1392,NCT03713918,Not Applicable
1686,NCT03096418,Not Applicable
1388,NCT02940717,Not Applicable
1689,NCT00822263,Not Applicable
1386,NCT02908932,Not Applicable
1693,NCT01782898,Not Applicable
1383,NCT02030522,Not Applicable
1699,NCT00211614,Not Applicable
1700,NCT03224416,Not Applicable
1255,NCT01073124,Not Applicable
1981,NCT00377208,Not Applicable
1983,NCT02056652,Not Applicable
1080,NCT01411839,Not Applicable
2339,NCT02365116,Not Applicable
2335,NCT02968381,Not Applicable
2334,NCT03640208,Not Applicable
2333,NCT00709696,Not Applicable
1077,NCT00682994,Not Applicable
2330,NCT03735407,Not Applicable
2329,NCT00548639,Not Applicable
2343,NCT00674336,Not Applicable
2328,NCT03243084,Not Applicable
2325,NCT00127257,Not Applicable
1081,NCT01603550,Not Applicable
2324,NCT02509377,Not Applicable
2323,NCT00746993,Not Applicable
2321,NCT00013026,Not Applicable
2342,NCT01402453,Not Applicable
2344,NCT04323267,Not Applicable
2252,NCT02063178,Not Applicable
2357,NCT03678870,Not Applicable
1053,NCT02420041,Not Applicable
2371,NCT01315483,Not Applicable
1057,NCT03421561,Not Applicable
2365,NCT00421850,Not Applicable
1059,NCT04031365,Not Applicable
2358,NCT04481373,Not Applicable
2356,NCT01173276,Not Applicable
2346,NCT03340051,Not Applicable
2355,NCT01854229,Not Applicable
1069,NCT02380833,Not Applicable
2350,NCT04221633,Not Applicable
2349,NCT00728377,Not Applicable
2347,NCT01742169,Not Applicable
1072,NCT04406714,Not Applicable
2320,NCT04502290,Not Applicable
1085,NCT00352729,Not Applicable
2319,NCT03481270,Not Applicable
2266,NCT00586300,Not Applicable
2274,NCT03489356,Not Applicable
2272,NCT01894581,Not Applicable
1106,NCT03174769,Not Applicable
2270,NCT04203238,Not Applicable
2269,NCT03416738,Not Applicable
2268,NCT02054624,Not Applicable
2265,NCT02692417,Not Applicable
2316,NCT01996943,Not Applicable
2263,NCT00547716,Not Applicable
2262,NCT01654315,Not Applicable
2260,NCT03081871,Not Applicable
2259,NCT01857245,Not Applicable
2258,NCT01671397,Not Applicable
2255,NCT02217345,Not Applicable
1102,NCT01783652,Not Applicable
2280,NCT02807155,Not Applicable
1101,NCT02498301,Not Applicable
1100,NCT04308746,Not Applicable
2285,NCT03313765,Not Applicable
2286,NCT03640286,Not Applicable
2291,NCT00779142,Not Applicable
2293,NCT00013078,Not Applicable
2295,NCT00111176,Not Applicable
2296,NCT02747433,Not Applicable
2299,NCT02091154,Not Applicable
2301,NCT01631747,Not Applicable
2302,NCT02879812,Not Applicable
2305,NCT04030117,Not Applicable
2306,NCT02070029,Not Applicable
2307,NCT01092078,Not Applicable
2308,NCT03205982,Not Applicable
2374,NCT03976336,Not Applicable
2375,NCT01652573,Not Applicable
2376,NCT00718653,Not Applicable
2453,NCT02187913,Not Applicable
2460,NCT04016584,Not Applicable
1011,NCT03293901,Not Applicable
1014,NCT01599624,Not Applicable
1017,NCT02200055,Not Applicable
1021,NCT02874131,Not Applicable
1023,NCT02755831,Not Applicable
2450,NCT03664765,Not Applicable
2439,NCT02517996,Not Applicable
2449,NCT00274417,Not Applicable
2448,NCT00734344,Not Applicable
2447,NCT02231957,Not Applicable
1025,NCT01771575,Not Applicable
2443,NCT03479905,Not Applicable
2441,NCT01416766,Not Applicable
1010,NCT02641158,Not Applicable
1008,NCT00350077,Not Applicable
2462,NCT00378950,Not Applicable
2465,NCT01433770,Not Applicable
2468,NCT04496804,Not Applicable
1006,NCT02876575,Not Applicable
2473,NCT00643812,Not Applicable
2475,NCT01871896,Not Applicable
1004,NCT02472067,Not Applicable
2477,NCT03702270,Not Applicable
2479,NCT02941809,Not Applicable
2481,NCT02529150,Not Applicable
2487,NCT01748890,Not Applicable
2489,NCT01514279,Not Applicable
2490,NCT03014037,Not Applicable
2491,NCT03702283,Not Applicable
2493,NCT02413125,Not Applicable
2440,NCT02289313,Not Applicable
2438,NCT00797615,Not Applicable
1052,NCT03598114,Not Applicable
2397,NCT00943904,Not Applicable
2408,NCT01770184,Not Applicable
1040,NCT03364361,Not Applicable
2402,NCT02141178,Not Applicable
2401,NCT00313404,Not Applicable
2400,NCT01951209,Not Applicable
2398,NCT04469036,Not Applicable
1042,NCT02373189,Not Applicable
2437,NCT00481507,Not Applicable
1045,NCT04607356,Not Applicable
2389,NCT01396044,Not Applicable
2387,NCT01040663,Not Applicable
2386,NCT01968642,Not Applicable
2382,NCT00798551,Not Applicable
2381,NCT00012883,Not Applicable
1039,NCT03306602,Not Applicable
1038,NCT03525184,Not Applicable
2412,NCT02277314,Not Applicable
1036,NCT02719964,Not Applicable
2414,NCT00436865,Not Applicable
2415,NCT01822171,Not Applicable
1034,NCT03719391,Not Applicable
1033,NCT02155478,Not Applicable
2422,NCT02660086,Not Applicable
2424,NCT03028688,Not Applicable
2426,NCT03908879,Not Applicable
2427,NCT02738749,Not Applicable
2432,NCT04122378,Not Applicable
1031,NCT01823276,Not Applicable
1030,NCT04004715,Not Applicable
1029,NCT03771196,Not Applicable
1028,NCT00809627,Not Applicable
2253,NCT03406975,Not Applicable
2250,NCT03556293,Not Applicable
1252,NCT01668069,Not Applicable
2058,NCT01987115,Not Applicable
1209,NCT01558583,Not Applicable
2070,NCT03492229,Not Applicable
2066,NCT02043574,Not Applicable
2065,NCT03429413,Not Applicable
2062,NCT03490188,Not Applicable
2059,NCT04275297,Not Applicable
2056,NCT00916539,Not Applicable
1202,NCT03807531,Not Applicable
2053,NCT01050205,Not Applicable
2051,NCT00142792,Not Applicable
2050,NCT00729560,Not Applicable
2049,NCT00379652,Not Applicable
1214,NCT01161290,Not Applicable
2046,NCT01118585,Not Applicable
1205,NCT00002298,Not Applicable
2076,NCT04598828,Not Applicable
2249,NCT03906942,Not Applicable
2096,NCT02069782,Not Applicable
2111,NCT02364570,Not Applicable
2110,NCT01350336,Not Applicable
2103,NCT03411278,Not Applicable
2101,NCT03877497,Not Applicable
2099,NCT03377621,Not Applicable
1184,NCT03467737,Not Applicable
2095,NCT01973153,Not Applicable
1200,NCT01234103,Not Applicable
1187,NCT02895997,Not Applicable
2086,NCT04371419,Not Applicable
2085,NCT03246126,Not Applicable
1193,NCT00704067,Not Applicable
2080,NCT02516332,Not Applicable
2079,NCT01876667,Not Applicable
1218,NCT03491397,Not Applicable
2043,NCT01064011,Not Applicable
2042,NCT01630551,Not Applicable
1997,NCT04461184,Not Applicable
2003,NCT03964974,Not Applicable
1238,NCT02340624,Not Applicable
2000,NCT02050113,Not Applicable
1240,NCT00593086,Not Applicable
1241,NCT00558701,Not Applicable
1998,NCT03711630,Not Applicable
1995,NCT03311646,Not Applicable
1223,NCT04062968,Not Applicable
1243,NCT02875288,Not Applicable
1993,NCT03252951,Not Applicable
1992,NCT03833284,Not Applicable
1250,NCT02105753,Not Applicable
1989,NCT03501992,Not Applicable
1988,NCT01532986,Not Applicable
2004,NCT00373009,Not Applicable
1237,NCT01241123,Not Applicable
1236,NCT01241149,Not Applicable
2008,NCT03323008,Not Applicable
1234,NCT01406886,Not Applicable
2010,NCT00282126,Not Applicable
